================================================== stage: s1-init ==================================================
---------------------------------- mission: MA2A32B459B, driver: driver1 ----------------------------------
2019-07-25 13:34:32,511 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects198
2019-07-25 13:34:32,538 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects199
2019-07-25 13:34:32,560 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects200
2019-07-25 13:34:32,583 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects201
2019-07-25 13:34:32,608 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects202
2019-07-25 13:34:32,631 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects203
2019-07-25 13:34:32,660 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects204
2019-07-25 13:34:32,695 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects205
2019-07-25 13:34:32,720 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects206
2019-07-25 13:34:32,749 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects207
2019-07-25 13:34:32,779 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects208
2019-07-25 13:34:32,824 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects209
2019-07-25 13:34:32,865 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects210
2019-07-25 13:34:32,898 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects211
2019-07-25 13:34:32,958 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects212
2019-07-25 13:34:33,001 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects213
2019-07-25 13:34:33,043 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects214
2019-07-25 13:34:33,071 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects215
2019-07-25 13:34:33,107 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects216
2019-07-25 13:34:33,136 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects217
2019-07-25 13:34:33,170 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects218
2019-07-25 13:34:33,205 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects219
2019-07-25 13:34:33,238 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects220
2019-07-25 13:34:33,267 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects221
2019-07-25 13:34:33,296 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects222
2019-07-25 13:34:33,330 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects223
2019-07-25 13:34:33,356 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects224
2019-07-25 13:34:33,383 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects225
