Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
13:43:54,154,9856000,32.22,31.21,30.77,1969230.77,100%,112,112,112
13:43:59,169,10816000,29.34,28.33,33.79,2162767.45,100%,113,113,113
13:44:04,128,8192000,38.83,38.01,25.59,1637744.9,100%,114,114,114
13:44:09,162,10368000,30.76,30.2,32.34,2069874.23,100%,115,115,115
13:44:14,170,10880000,29.29,28.28,33.9,2169491.53,100%,116,116,116
13:44:19,165,10560000,30.22,29.22,32.88,2104424.07,100%,117,117,117
13:44:24,169,10816000,29.44,28.54,33.72,2158020.75,100%,118,118,118
13:44:29,171,10944000,29.34,28.82,33.91,2170136.82,100%,119,119,119
13:44:34,117,7488000,42.72,41.79,23.32,1492227.98,100%,120,120,120
13:44:39,121,7744000,41.07,40.16,24.2,1548490.3,100%,121,121,121
13:44:44,159,10176000,31.36,30.38,31.68,2027495.52,100%,122,122,122
13:44:49,153,9792000,32.8,32.45,30.34,1941701.37,100%,123,123,123
13:44:54,120,7680000,41.52,40.52,23.93,1531405.78,100%,124,124,124
13:44:59,176,11264000,28.34,27.35,35.07,2244719.01,100%,125,125,125
13:45:04,179,11456000,27.82,26.99,35.69,2284346.96,100%,126,126,126
13:45:09,152,9728000,33,32.49,30.22,1934380.59,100%,127,127,127
13:45:14,154,9856000,32.36,31.37,30.72,1966088.17,100%,128,128,128
13:45:19,173,11072000,28.74,27.71,34.51,2208657.49,100%,129,129,129
13:45:24,172,11008000,28.94,28.15,34.35,2198083.07,100%,130,130,130
13:45:29,178,11392000,28.11,27.54,35.42,2267064.68,100%,131,131,131
13:45:34,172,11008000,28.88,27.87,34.32,2196328.81,100%,132,132,132
13:45:39,102,6528000,49.14,48.24,20.29,1298846,100%,133,133,133
13:45:44,153,9792000,32.56,31.62,30.51,1952931.79,100%,134,134,134
13:45:49,162,10368000,30.83,30.38,32.34,2069461.08,100%,135,135,135
13:45:54,129,8256000,38.56,37.67,25.75,1648233.18,100%,136,136,136
13:45:59,156,9984000,31.83,30.82,31.17,1994805.19,100%,137,137,137
13:46:04,173,11072000,28.79,28.03,34.43,2203821.66,100%,138,138,138
13:46:09,175,11200000,28.61,27.99,34.82,2228412.26,100%,139,139,139
13:46:14,162,10368000,30.67,29.66,32.32,2068222.62,100%,140,140,140
13:46:19,171,10944000,29.04,28.02,34.19,2188362.33,100%,141,141,141
13:46:24,156,9984000,31.96,31.16,31.15,1993610.22,100%,142,142,142
13:46:29,176,11264000,28.33,27.65,35.09,2246061.81,100%,143,143,143
13:46:34,134,8576000,37.28,36.32,26.66,1705987.67,100%,144,144,144
13:46:39,139,8896000,35.88,34.91,27.69,1772111.55,100%,145,145,145
13:46:44,144,9216000,34.59,33.8,28.78,1842094.74,100%,146,146,146
13:46:49,121,7744000,41.31,40.77,24.16,1546017.17,100%,147,147,147
