Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,4851,103787688000,423.16,140.73,1.01,21658731.42,99.67%
list,list,789,0,111.61,111.6,0.16,0,99.62%
write,write,1585,31691836000,581.01,399.52,0.33,6613549.04,99.62%
delete,delete,790,0,231.37,231.37,0.16,0,100%
read,read,4983,107981304000,465.16,166.23,1.05,22765242.33,99.72%
list,list,841,0,115.41,115.41,0.18,0,99.64%
write,write,1735,36148252000,577.42,393.45,0.37,7620983.32,99.83%
delete,delete,811,0,110.94,110.94,0.17,0,100%
read,read,4626,99784596000,453.16,156.28,0.96,20782841.8,99.66%
list,list,760,0,104.71,104.71,0.16,0,99.74%
write,write,1544,31297880000,623.69,430.87,0.32,6518630.28,99.61%
delete,delete,751,0,239.57,239.57,0.16,0,100%
read,read,4618,99913528000,451.89,158.61,0.97,20886449.75,99.68%
list,list,757,0,92.39,92.39,0.16,0,99.74%
write,write,1571,32802524000,602.01,408.81,0.33,6857212.26,99.49%
delete,delete,791,0,179.02,179.02,0.17,0,100%
read,read,4399,91194796000,456.4,173.93,0.92,19139499.44,99.62%
list,list,750,0,149.74,149.74,0.16,0,99.73%
write,write,1489,30638680000,668.64,473.12,0.31,6430290.15,99.73%
delete,delete,710,0,306.54,306.54,0.15,0,100%
read,read,4695,100768452000,469.24,169.04,0.98,21052567.67,99.72%
list,list,802,0,152.68,152.68,0.17,0,99.75%
write,write,1502,31884740000,627.05,456.48,0.31,6661367.06,99.67%
delete,delete,796,0,371.48,371.48,0.17,0,100%
read,read,4681,99524128000,465.1,163.49,0.98,20759922.66,99.79%
list,list,792,0,162,161.99,0.17,0,99.37%
write,write,1608,32804532000,627.9,443.94,0.34,6842758.24,99.69%
delete,delete,796,0,287,287,0.17,0,100%
read,read,4463,93815552000,463.71,182.91,0.93,19604369.17,99.73%
list,list,812,0,195.76,195.76,0.17,0,99.63%
write,write,1511,31949708000,659.3,470.29,0.32,6676439.64,99.67%
delete,delete,734,0,424.11,424.11,0.15,0,100%
read,read,5060,108703544000,462.46,168.65,1.06,22820674.4,99.82%
list,list,865,0,99.69,99.69,0.18,0,99.43%
write,write,1693,35560876000,592.3,399.61,0.36,7465471.16,99.82%
delete,delete,827,0,309.33,309.33,0.17,0,100%
read,read,4668,94149552000,443.75,154.94,0.97,19613100.74,99.72%
list,list,771,0,115,115,0.16,0,99.74%
write,write,1514,32671112000,624.68,436.06,0.32,6805999.58,99.47%
delete,delete,776,0,364.69,364.69,0.16,0,100%
read,read,4563,100173516000,487.17,180.29,0.95,20862167.7,99.61%
list,list,764,0,137.3,137.3,0.16,0,99.87%
write,write,1499,31294400000,618.48,431.75,0.31,6517381.51,99.73%
delete,delete,769,0,147.3,147.3,0.16,0,100%
read,read,4674,97356504000,451.02,170.65,0.98,20401712.75,99.62%
list,list,767,0,200.51,200.51,0.16,0,99.74%
write,write,1462,30308632000,598.67,417.42,0.31,6351378.47,99.59%
delete,delete,757,0,52.05,52.05,0.16,0,100%
read,read,4503,92836452000,464.81,180.07,0.94,19376022.32,99.76%
list,list,792,0,136.87,136.87,0.17,0,99.62%
write,write,1624,33528448000,660.95,453.87,0.34,6997768.04,99.69%
delete,delete,766,0,431.22,431.22,0.16,0,100%
read,read,4538,97422932000,442.83,158.53,0.95,20489799.58,99.69%
list,list,812,0,156.64,156.64,0.17,0,99.88%
write,write,1560,33589884000,670.75,474.12,0.33,7064558.38,99.49%
delete,delete,785,0,149.89,149.89,0.17,0,100%
read,read,5033,105824228000,447.37,176.36,1.05,22072101.68,99.82%
list,list,873,0,115.18,115.18,0.18,0,99.77%
write,write,1670,36473612000,670.18,460.5,0.35,7607419.28,99.64%
delete,delete,907,0,309.48,309.48,0.19,0,100%
read,read,5211,108582084000,425.9,153.68,1.09,22612081.34,99.73%
list,list,858,0,131.02,131.02,0.18,0,100%
write,write,1778,37657040000,639.82,424.29,0.37,7842030.84,99.66%
delete,delete,889,0,91.19,91.19,0.19,0,100%
read,read,5225,107927120000,444.42,159.5,1.09,22502368.51,99.81%
list,list,892,0,128.31,128.31,0.19,0,99.66%
write,write,1729,37198240000,603.69,391.72,0.36,7755682.77,99.71%
delete,delete,890,0,222.89,222.89,0.19,0,100%
read,read,4974,105361128000,442.54,157.71,1.04,21961938.88,99.76%
list,list,814,0,146.82,146.82,0.17,0,99.75%
write,write,1609,34574740000,622.85,421.8,0.34,7206911.52,99.69%
delete,delete,832,0,327.58,327.58,0.17,0,100%
read,read,5056,110081920000,466.18,174.84,1.05,22954746.49,99.74%
list,list,864,0,171.65,171.65,0.18,0,99.42%
write,write,1760,36148172000,560.7,391.27,0.37,7537769.37,99.89%
delete,delete,863,0,69.43,69.43,0.18,0,100%
read,read,5241,109300836000,441.22,162.83,1.09,22785063.04,99.79%
list,list,897,0,132.15,132.15,0.19,0,99.78%
write,write,1727,36672896000,633.09,434.03,0.36,7644902.62,99.65%
delete,delete,818,0,100.4,100.4,0.17,0,100%
read,read,5353,111330916000,430.08,154.53,1.12,23218000.49,99.79%
list,list,908,0,160.06,160.06,0.19,0,99.78%
write,write,1783,37854736000,642.16,467.06,0.37,7894584.1,99.83%
delete,delete,889,0,215.88,215.88,0.19,0,100%
read,read,4696,97559128000,430.88,147.83,0.98,20347628.87,99.77%
list,list,772,0,110.82,110.82,0.16,0,99.61%
write,write,1647,34049676000,657.35,459.39,0.34,7101643.74,99.7%
delete,delete,781,0,507.6,507.6,0.16,0,100%
read,read,5153,103338872000,450.29,167.32,1.07,21523362.5,99.73%
list,list,870,0,162.42,162.42,0.18,0,100%
write,write,1663,32743180000,574.6,381.47,0.35,6819731.23,99.76%
delete,delete,860,0,302.89,302.89,0.18,0,100%
read,read,4923,105686664000,449.72,157.38,1.03,22024446.68,99.7%
list,list,828,0,148.89,148.89,0.17,0,99.52%
write,write,1694,34708004000,621.42,431.46,0.35,7232933.22,99.94%
delete,delete,837,0,151.14,151.14,0.17,0,100%
read,read,4666,97950460000,447.87,154.24,0.98,20652349.74,99.68%
list,list,784,0,113.41,113.41,0.17,0,99.37%
write,write,1520,32276504000,663.26,449.5,0.32,6805334.54,99.74%
delete,delete,813,0,68.24,68.24,0.17,0,100%
read,read,4782,100244604000,433.17,149.65,1,20894313.06,99.65%
list,list,815,0,154.62,154.62,0.17,0,99.88%
write,write,1645,35033008000,613.21,457.21,0.34,7302045.27,99.88%
delete,delete,835,0,408.52,408.52,0.17,0,100%
read,read,5020,106541008000,452.48,182.73,1.05,22186997.51,99.74%
list,list,851,0,161.62,161.61,0.18,0,99.77%
write,write,1735,37525084000,632.4,417.87,0.36,7814539.78,99.83%
delete,delete,860,0,204.99,204.99,0.18,0,100%
read,read,4869,100121148000,430.73,152.09,1.01,20864731.94,99.65%
list,list,765,0,125.44,125.44,0.16,0,99.48%
write,write,1616,31559756000,606.54,391.13,0.34,6576890.72,99.88%
delete,delete,791,0,270.18,270.18,0.16,0,100%
read,read,4564,93493036000,467.59,178.93,0.95,19481668.99,99.59%
list,list,760,0,178.14,178.14,0.16,0,99.61%
write,write,1519,31688272000,629.01,417.04,0.32,6603063.2,99.87%
delete,delete,780,0,103.34,103.34,0.16,0,100%
read,read,4478,94340468000,461.81,160.83,0.94,19826956.96,99.73%
list,list,752,0,192.76,192.76,0.16,0,99.87%
write,write,1498,33127132000,665.4,473.44,0.31,6962125.95,99.6%
delete,delete,688,0,527.63,527.63,0.14,0,100%
read,read,4581,95261508000,443.39,167.41,0.96,20066075.87,99.65%
list,list,816,0,157.53,157.53,0.17,0,99.51%
write,write,1509,32736384000,728.93,495.47,0.32,6895657.85,99.93%
delete,delete,764,0,213.96,213.96,0.16,0,100%
read,read,4802,100118420000,426.11,151.28,1.01,21057391.34,99.73%
list,list,828,0,101.01,101.01,0.17,0,99.64%
write,write,1664,37391396000,620.83,438.04,0.35,7864339.63,99.7%
delete,delete,791,0,329.66,329.66,0.17,0,100%
read,read,4573,95787532000,453.17,166.55,0.96,20132947.72,99.72%
list,list,766,0,155.65,155.65,0.16,0,99.48%
