Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
list,list,947,0,111.71,111.71,0.2,0,100%
write,write,1842,39165012000,971.15,717.76,0.38,8157995.74,100%
delete,delete,890,0,147.92,147.92,0.19,0,100%
read,read,5248,111334276000,548.37,141.41,1.09,23185154.24,100%
list,list,850,0,104.11,104.11,0.18,0,100%
write,write,1789,34449916000,948.12,721.7,0.37,7174130.42,100%
delete,delete,859,0,161.78,161.78,0.18,0,100%
read,read,5459,110615828000,515.75,132.07,1.14,23035529.2,100%
list,list,877,0,124.97,124.97,0.18,0,100%
write,write,1819,36808168000,953.77,699.69,0.38,7665228.78,100%
delete,delete,920,0,153.93,153.93,0.19,0,100%
read,read,5392,113956072000,531.59,139.57,1.12,23732759.42,100%
list,list,843,0,90,90,0.18,0,100%
write,write,1784,34577840000,972.05,753.02,0.37,7201262.24,100%
delete,delete,934,0,133.73,133.73,0.19,0,100%
read,read,5310,113233272000,535.35,136.8,1.11,23584742.24,100%
list,list,851,0,98.47,98.47,0.18,0,100%
write,write,1826,36676112000,949.44,733.27,0.38,7639067.85,100%
delete,delete,927,0,151.56,151.56,0.19,0,100%
read,read,5344,111006160000,522.9,147.31,1.11,23117628.67,100%
list,list,894,0,101.25,101.25,0.19,0,100%
write,write,1789,38313244000,1002.06,730.59,0.37,7978938.72,100%
delete,delete,859,0,144.15,144.15,0.18,0,100%
read,read,5501,113569076000,518.53,144.07,1.15,23654162.79,100%
list,list,906,0,97.88,97.88,0.19,0,100%
write,write,1800,37529184000,957.48,724.32,0.37,7816577,100%
delete,delete,879,0,155.03,155.03,0.18,0,100%
read,read,5434,112843576000,525.23,143.24,1.13,23504015.18,100%
list,list,920,0,100.02,100.02,0.19,0,100%
write,write,1706,35886188000,1010.87,760.55,0.36,7474679,100%
delete,delete,947,0,137.23,137.23,0.2,0,100%
read,read,5326,112969768000,528.56,137.92,1.11,23562072.01,100%
list,list,923,0,94.45,94.45,0.19,0,100%
write,write,1798,37461484000,1022.94,773.89,0.38,7813330.94,100%
delete,delete,811,0,64.9,64.9,0.17,0,100%
read,read,5480,115990076000,535,147.1,1.14,24157437.49,100%
list,list,912,0,106.12,106.12,0.19,0,100%
write,write,1876,38118676000,910.66,656.67,0.39,7939037.24,100%
delete,delete,871,0,73.53,73.53,0.18,0,100%
read,read,5454,115333032000,522.27,145.43,1.14,24121199.72,100%
list,list,868,0,99.89,99.89,0.18,0,100%
write,write,1792,38116720000,996.53,728.56,0.37,7971879.35,100%
delete,delete,890,0,67.45,67.45,0.19,0,100%
read,read,5407,116380216000,531.14,139.62,1.13,24287683.51,100%
list,list,901,0,94.18,94.18,0.19,0,100%
write,write,1795,35363548000,979.56,754.38,0.37,7380108.85,100%
delete,delete,949,0,80.47,80.47,0.2,0,100%
read,read,5414,112709912000,525.19,137.64,1.13,23472713.03,100%
list,list,924,0,107.77,107.77,0.19,0,100%
write,write,1840,38315068000,972.25,724.14,0.38,7979409.97,100%
delete,delete,890,0,78.01,78.01,0.19,0,100%
read,read,5473,115795012000,525.85,149.08,1.14,24114043.93,100%
list,list,904,0,102.07,102.07,0.19,0,100%
write,write,1911,40544760000,927.67,677.2,0.4,8443352.67,100%
delete,delete,934,0,62.69,62.69,0.19,0,100%
read,read,5743,120846616000,510.63,137.63,1.2,25166212.23,100%
list,list,948,0,95.31,95.31,0.2,0,100%
write,write,1894,39496180000,898.95,656.77,0.39,8225048.26,100%
delete,delete,933,0,81.46,81.46,0.19,0,100%
read,read,5337,112381164000,518.35,137.92,1.11,23403439.63,100%
list,list,916,0,91.55,91.55,0.19,0,100%
write,write,1800,38836524000,1047.08,800.42,0.37,8087727.63,100%
delete,delete,899,0,73.93,73.93,0.19,0,100%
read,read,5381,114940568000,532.07,139.24,1.12,23939313.49,100%
list,list,882,0,109.78,109.78,0.18,0,100%
write,write,1793,37461584000,984.49,728.95,0.37,7802333.14,100%
delete,delete,886,0,85.61,85.61,0.18,0,100%
read,read,5530,113239852000,514.54,142.2,1.15,23610401.18,100%
list,list,866,0,91.96,91.96,0.18,0,100%
write,write,1853,39887648000,975.5,724.45,0.39,8316536.58,100%
delete,delete,886,0,71.22,71.22,0.18,0,100%
read,read,5202,112773456000,540.55,141.28,1.08,23492575.91,100%
list,list,944,0,102.39,102.39,0.2,0,100%
write,write,1821,35956500000,1011.26,777.52,0.38,7490333.59,100%
delete,delete,891,0,56.03,56.03,0.19,0,100%
read,read,5296,112514044000,533.57,142.16,1.1,23436090.16,100%
list,list,907,0,114.86,114.86,0.19,0,100%
write,write,1773,36216096000,1018.01,761.58,0.37,7543624.43,100%
delete,delete,879,0,74.65,74.65,0.18,0,100%
read,read,5360,111793388000,521.88,149.08,1.12,23281170.71,100%
list,list,869,0,111.58,111.58,0.18,0,100%
write,write,1791,40213260000,1034.28,778.75,0.37,8374482.49,100%
delete,delete,924,0,59.31,59.31,0.19,0,100%
read,read,5465,112321064000,523.09,142.93,1.14,23403917.54,100%
list,list,918,0,107.12,107.12,0.19,0,100%
write,write,1810,41064592000,988.99,727.51,0.38,8556474.54,100%
delete,delete,897,0,57.67,57.67,0.19,0,100%
read,read,5618,117501344000,522.72,136.32,1.17,24473465.96,100%
list,list,853,0,98.23,98.23,0.18,0,100%
write,write,1840,37396840000,941.39,718.11,0.38,7789104.87,100%
delete,delete,879,0,54.84,54.84,0.18,0,100%
read,read,5375,113368916000,531.69,143.74,1.12,23612232.49,100%
list,list,902,0,94.94,94.94,0.19,0,100%
write,write,1777,37396108000,1016.76,774.62,0.37,7788780.45,100%
delete,delete,884,0,57.25,57.25,0.18,0,100%
read,read,5257,114411796000,546.7,140.62,1.1,23837240.93,100%
list,list,904,0,94.67,94.67,0.19,0,100%
write,write,1733,37788884000,1027.36,762.34,0.36,7873163.12,100%
delete,delete,821,0,72.23,72.23,0.17,0,100%
read,read,5619,119467248000,535.7,147.1,1.17,24919661.18,100%
list,list,972,0,128.49,128.49,0.2,0,100%
write,write,1766,35691452000,909.47,680.56,0.37,7444876.36,100%
delete,delete,913,0,57.58,57.58,0.19,0,100%
read,read,5590,115472740000,511.99,138.69,1.16,24049220.28,100%
list,list,955,0,100.51,100.51,0.2,0,100%
write,write,1823,37790624000,974.12,730.69,0.38,7870559.24,100%
delete,delete,921,0,73.03,73.03,0.19,0,100%
read,read,5281,113956648000,546.31,149.34,1.1,23736062.88,100%
list,list,939,0,98.33,98.33,0.2,0,100%
