Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
list,list,1026,0,100.29,100.29,0.21,0,100%
write,write,1989,39433008000,882.96,660.03,0.41,8212465.67,100%
delete,delete,1030,0,107.06,107.06,0.21,0,100%
read,read,5747,121828952000,507.01,134.5,1.2,25372452.61,100%
list,list,955,0,90.76,90.76,0.2,0,100%
write,write,1895,40871696000,909.91,668.9,0.39,8512058.53,100%
delete,delete,996,0,76.8,76.8,0.21,0,100%
read,read,5518,116319388000,528.1,137.88,1.15,24224999.61,100%
list,list,884,0,114.82,114.82,0.18,0,100%
write,write,1874,39561272000,908.08,672.47,0.39,8239140.66,100%
delete,delete,940,0,89.31,89.31,0.2,0,100%
read,read,5762,121107020000,509.96,135.11,1.2,25221034.66,100%
list,list,1017,0,94.3,94.3,0.21,0,100%
write,write,1933,36221236000,872.36,646.36,0.4,7543221.27,100%
delete,delete,905,0,89.34,89.34,0.19,0,100%
read,read,5715,118617936000,520.22,131.28,1.19,24702219.99,100%
list,list,941,0,99.87,99.87,0.2,0,100%
write,write,1874,37527980000,881.44,658.17,0.39,7815212.85,100%
delete,delete,970,0,85.22,85.22,0.2,0,100%
read,read,5631,119401704000,510.37,143.12,1.17,24866998.65,100%
list,list,939,0,92.01,92.01,0.2,0,100%
write,write,1907,40214864000,923.2,688.62,0.4,8375282.22,100%
delete,delete,940,0,85.45,85.45,0.2,0,100%
read,read,5628,119401512000,515.14,141.3,1.17,24871998.73,100%
list,list,878,0,100.36,100.36,0.18,0,100%
write,write,1845,40083852000,940.5,681.08,0.38,8349689.21,100%
delete,delete,977,0,79.51,79.51,0.2,0,100%
read,read,5726,121568180000,519.26,139.73,1.19,25322204.2,100%
list,list,977,0,97.02,97.02,0.2,0,100%
write,write,1868,39690932000,873.61,644.2,0.39,8267474.97,100%
delete,delete,921,0,109.08,109.08,0.19,0,100%
read,read,5680,122349100000,510.44,138.38,1.18,25484298.97,100%
list,list,940,0,105.75,105.75,0.2,0,100%
write,write,1892,38840372000,905.2,671.16,0.39,8090126.14,100%
delete,delete,957,0,93.16,93.16,0.2,0,100%
read,read,5665,118094140000,523.19,134.58,1.18,24595341.77,100%
list,list,884,0,97.83,97.83,0.18,0,100%
write,write,1910,40149524000,878.37,639.25,0.4,8361898.95,100%
delete,delete,885,0,82.54,82.54,0.18,0,100%
read,read,5812,123665608000,511.81,134.53,1.21,25762573.42,100%
list,list,927,0,89.07,89.07,0.19,0,100%
write,write,1992,38973276000,817.69,602.71,0.41,8119087.44,100%
delete,delete,965,0,117.86,117.86,0.2,0,100%
read,read,5672,118158140000,514.11,130.51,1.18,24606697.93,100%
list,list,910,0,94.84,94.84,0.19,0,100%
write,write,1844,37331264000,931.44,709.72,0.38,7774319.54,100%
delete,delete,895,0,91.12,91.12,0.19,0,100%
read,read,5851,123141868000,497.97,134.64,1.22,25661906.9,100%
list,list,957,0,97.72,97.71,0.2,0,100%
write,write,1930,37794232000,882.31,658.87,0.4,7876054.49,100%
delete,delete,947,0,93.16,93.16,0.2,0,100%
read,read,6015,124262988000,498.21,132.6,1.25,25879043.27,100%
list,list,959,0,102.04,102.04,0.2,0,100%
write,write,1923,38646480000,833.58,633.51,0.4,8048526.31,100%
delete,delete,1014,0,102.27,102.27,0.21,0,100%
read,read,5646,118420464000,521.65,133.44,1.18,24664352.84,100%
list,list,1005,0,91.44,91.44,0.21,0,100%
write,write,1909,38776168000,871.41,652.19,0.4,8076214.68,100%
delete,delete,941,0,106.46,106.46,0.2,0,100%
read,read,5586,117239088000,521.27,133.41,1.16,24417255.91,100%
list,list,992,0,91.07,91.07,0.21,0,100%
write,write,1833,39884808000,935.64,698.07,0.38,8306765.09,100%
delete,delete,941,0,89.13,89.13,0.2,0,100%
read,read,5916,122098116000,494.53,127.8,1.23,25437907.73,100%
list,list,1020,0,109.01,109.01,0.21,0,100%
write,write,1952,38645096000,855.6,653.22,0.41,8051314.95,100%
delete,delete,1025,0,90.21,90.21,0.21,0,100%
read,read,5687,120318956000,505.93,133.21,1.18,25065028.82,100%
list,list,940,0,101.07,101.07,0.2,0,100%
write,write,1896,38251260000,914.8,686.98,0.39,7968560.95,100%
delete,delete,939,0,99.21,99.21,0.2,0,100%
read,read,5810,123598868000,512.68,138.52,1.21,25739243.25,100%
list,list,950,0,107.61,107.61,0.2,0,100%
write,write,1846,36415744000,878.37,658.27,0.38,7583513.57,100%
delete,delete,1001,0,99.04,99.04,0.21,0,100%
read,read,5734,122023096000,527.38,136.89,1.19,25415203.95,100%
list,list,977,0,121.64,121.64,0.2,0,100%
write,write,1806,36808296000,870.67,661.59,0.38,7666502.33,100%
delete,delete,955,0,89.5,89.5,0.2,0,100%
read,read,5737,118034116000,505.85,136.46,1.2,24587428.87,100%
list,list,947,0,91.82,91.82,0.2,0,100%
write,write,1894,38185120000,911.93,697.52,0.39,7954258.94,100%
delete,delete,908,0,92.46,92.46,0.19,0,100%
read,read,5469,114221028000,507.46,133.21,1.14,23787746.57,100%
list,list,971,0,111.91,111.91,0.2,0,100%
write,write,1871,41590712000,978.31,709.7,0.39,8661709.09,100%
delete,delete,913,0,95.15,95.15,0.19,0,100%
read,read,5559,118613652000,511.04,137.65,1.16,24700921.47,100%
list,list,902,0,104.44,104.44,0.19,0,100%
write,write,1806,38642352000,984.31,738.01,0.38,8047148.76,100%
delete,delete,911,0,97.51,97.51,0.19,0,100%
read,read,5742,122419140000,517.03,139.22,1.2,25499243.58,100%
list,list,985,0,83.41,83.41,0.21,0,100%
write,write,1840,38512024000,906.8,672.25,0.38,8021845.94,100%
delete,delete,963,0,84.15,84.15,0.2,0,100%
read,read,5702,118747148000,507.23,139.87,1.19,24728989.38,100%
list,list,968,0,95.43,95.43,0.2,0,100%
write,write,1906,39560800000,905.01,677.47,0.4,8238501.89,100%
delete,delete,996,0,92.31,92.31,0.21,0,100%
read,read,5631,118352952000,506.67,130.21,1.17,24647724.8,100%
list,list,927,0,107.87,107.87,0.19,0,100%
write,write,1897,41066020000,935.96,705.5,0.4,8552249.37,100%
delete,delete,917,0,79.33,79.33,0.19,0,100%
read,read,5707,120258184000,512.53,138.06,1.19,25044161.98,100%
list,list,934,0,99.35,99.35,0.19,0,100%
write,write,1862,38905244000,927.6,700.05,0.39,8102144.9,100%
delete,delete,960,0,58.83,58.83,0.2,0,100%
read,read,5300,112642004000,539.73,141.18,1.1,23459767.65,100%
list,list,880,0,106.69,106.69,0.18,0,100%
write,write,1790,36152672000,994.79,755.99,0.37,7529458.42,100%
delete,delete,905,0,72.88,72.88,0.19,0,100%
read,read,5681,120314252000,517.44,138.69,1.18,25055739.19,100%
list,list,874,0,100.11,100.11,0.18,0,100%
write,write,1827,38183832000,930.1,686.41,0.38,7951877.02,100%
delete,delete,990,0,75.81,75.81,0.21,0,100%
read,read,5872,118617844000,498.81,130.3,1.22,24702236.84,100%
list,list,922,0,100.34,100.34,0.19,0,100%
write,write,1955,40545716000,885.59,653.65,0.41,8443669.57,100%
delete,delete,959,0,50.73,50.73,0.2,0,100%
read,read,5707,117637324000,494.52,127.6,1.19,24509961.3,100%
list,list,926,0,94.5,94.5,0.19,0,100%
write,write,1947,42314388000,941.68,703.33,0.41,8816283.62,100%
delete,delete,972,0,57.6,57.6,0.2,0,100%
read,read,5523,115862004000,520.8,145.53,1.15,24133985.67,100%
list,list,897,0,126,126,0.19,0,100%
write,write,1805,38642528000,974.47,724.72,0.38,8049215.32,100%
delete,delete,956,0,54.46,54.46,0.2,0,100%
read,read,5521,116973340000,512.25,130.68,1.15,24360168.67,100%
list,list,955,0,98.28,98.28,0.2,0,100%
write,write,1874,39231392000,964.8,704.05,0.39,8170095.22,100%
delete,delete,943,0,75.69,75.69,0.2,0,100%
read,read,5750,118944536000,528.01,149.59,1.2,24789051.22,100%
list,list,967,0,99.02,99.02,0.2,0,100%
write,write,1870,35105800000,861.96,650.86,0.39,7316346.79,100%
delete,delete,977,0,55.45,55.45,0.2,0,100%
read,read,5560,115471600000,525.56,135.95,1.16,24050956.41,100%
list,list,918,0,106.1,106.1,0.19,0,100%
write,write,1823,39426524000,943.39,689.61,0.38,8211937.92,100%
delete,delete,940,0,65.34,65.34,0.2,0,100%
