Timestamp,Op-Count,,,,Byte-Count,,,,Avg-ResTime,,,,Avg-ProcTime,,,,Throughput,,,,Bandwidth,,,,Succ-Ratio,,,,Version-Info,,
,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,Min-Version,Version,Max-Version
02:08:16,1381,245,447,239,29850244000,0,9250380000,0,505.17,96.06,680.14,73.29,140.75,96.06,484.21,73.29,285.97,51.63,94.59,50.74,6183141327.07,0,1995647871.41,0,100%,100%,100%,100%,62,62,62
02:08:21,1344,241,435,208,27359640000,0,10036236000,0,562.71,135.1,885.57,63.92,157.24,135.1,633.01,63.92,284.28,49.41,88.73,43.57,5716353740.47,0,1998330766.72,0,100%,100%,100%,100%,63,63,63
02:08:26,1521,263,515,290,32211096000,0,9580532000,0,499.14,85.73,740.07,85.92,130.51,85.73,543.43,85.92,305.91,51.82,103.8,58.87,6479071504.96,0,1911152913.89,0,100%,100%,100%,100%,64,64,64
02:08:31,1439,277,502,234,30703412000,0,11675944000,0,544.05,93.63,898.51,61.15,130.28,93.63,608.7,61.15,290.18,55.57,100,48.94,6140884418.93,0,2305404907.53,0,100%,100%,100%,100%,65,65,65
02:08:36,1404,248,498,250,30637260000,0,10693488000,0,500.09,107.06,880.4,72.82,136.83,107.06,658.42,72.82,275.5,48.84,97.07,48.78,5960924226.45,0,2125968186.79,0,100%,100%,100%,100%,66,66,66
02:08:41,1310,216,429,219,27555140000,0,8857416000,0,426.02,87.11,803.27,60.49,116.9,87.11,609.34,60.49,247.81,41.76,81.81,42.16,5269422031.22,0,1737844027.91,0,100%,100%,100%,100%,67,67,67
02:08:46,1368,244,466,245,28670676000,0,9186064000,0,536.5,111.95,786.86,152.91,136.28,111.95,503.41,152.91,268.52,48.95,90.48,48.36,5663133368.49,0,1788075178.35,0,100%,100%,100%,100%,68,68,68
02:08:51,1348,206,470,202,27948964000,0,8924912000,0,602.71,81.11,793.92,225.51,146.77,81.11,615.19,225.51,277.69,43.33,95.67,43.85,5777706222.04,0,1813494575.56,0,100%,100%,100%,100%,69,69,69
02:08:56,1446,248,494,238,30307548000,0,12986492000,0,522.64,172.84,1091.17,111.14,128.44,172.84,800.98,111.14,301.31,51.45,101.79,50.25,6362790437.77,0,2617517533.28,0,100%,100%,100%,100%,70,70,70
02:09:01,1489,241,464,246,32276740000,0,9447524000,0,527.59,86.47,869.48,71.61,131.95,86.47,585.97,71.61,290.83,47.98,91.34,48.29,6221972932.59,0,1921710498.41,0,100%,100%,100%,100%,71,71,71
02:09:06,1378,240,506,231,30112480000,0,10693880000,0,548.39,117.1,986.07,68.75,139.39,117.1,754.42,68.75,262.73,46.2,96.97,44.21,5718510198.73,0,2086854254.2,0,100%,100%,100%,100%,72,72,72
02:09:11,1189,182,372,206,26502004000,0,8003772000,0,465.85,132.24,1273.06,53.61,127.9,132.24,1052.03,53.61,236.73,36.02,75.67,41.41,5331869955.34,0,1682670668.76,0,100%,100%,100%,100%,73,73,73
02:09:16,1248,202,463,206,25588992000,0,10561024000,0,403.51,81.17,1479.49,71.33,118.56,81.17,1275.91,71.33,279.74,43.77,102.81,47.66,5734769251.41,0,2351606832.12,0,100%,100%,100%,100%,74,74,74
02:09:21,987,171,410,178,19225704000,0,8594732000,0,312.32,82.08,3104.14,263.44,89.2,82.08,2903.61,263.44,165.17,28.99,68.51,29.88,3254206749.14,0,1425709253.79,0,100%,100%,100%,100%,75,75,75
02:09:26,1490,230,461,272,31818260000,0,8203484000,0,400.71,86.11,693.05,72.09,109.42,86.11,561.55,72.09,281.91,42.92,86.76,51.52,6058872547.79,0,1525171527.04,0,100%,100%,100%,100%,76,76,76
02:09:31,1168,209,398,202,24601492000,0,8790980000,0,502.9,90.38,1000.95,210.56,146.56,90.38,723.17,210.56,254.29,44.94,88.9,43.94,5313930689.2,0,1999230270.89,0,100%,100%,100%,100%,77,77,77
02:09:36,1286,231,445,194,26832572000,0,10101208000,0,445.76,126.57,1330.93,125.26,120.01,126.57,1118.83,125.26,274.29,49.78,96.03,41.43,5687502788.26,0,2206979833.48,0,100%,100%,100%,100%,78,78,78
02:09:41,1501,261,495,246,31360240000,0,10431648000,0,490.13,93.3,1058.57,61.3,113.64,93.3,858.55,61.3,296.32,53.28,98.01,47.68,6142400388.62,0,2111036441.84,0,100%,100%,100%,100%,79,79,79
02:09:46,1381,233,471,213,28212904000,0,9840804000,0,483.63,123.79,924.37,48.24,140.08,123.79,662.66,48.24,279.22,48.18,92.89,42.48,5696024648.91,0,1913028286.65,0,100%,100%,100%,100%,80,80,80
02:09:51,1005,179,331,179,21321480000,0,6561724000,0,494.87,81.35,818.96,49.41,149.38,81.35,602.89,49.41,229.07,41.79,78.48,41.31,4731195344.05,0,1606609673.58,0,100%,100%,100%,100%,81,81,81
02:09:56,1081,190,422,198,23094148000,0,9250040000,0,412.67,90.72,2452.86,158.03,125.77,90.71,2260.06,158.03,230.24,38.85,92.04,43.24,4924318829.25,0,1960070340.3,0,100%,100%,100%,100%,82,82,82
02:10:01,1324,225,450,221,27686740000,0,9774708000,0,254.3,49.38,2625.77,70.44,78.26,49.38,2507.18,70.44,220.11,37.53,74.39,36.4,4638526867.94,0,1597862281.12,0,100%,100%,100%,100%,83,83,83
