================================================== stage: s1-init ==================================================
---------------------------------- mission: ME2A7172DFD, driver: driver1 ----------------------------------
2019-07-25 14:43:04,693 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects100
2019-07-25 14:43:04,727 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects101
2019-07-25 14:43:04,749 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects102
2019-07-25 14:43:04,774 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects103
2019-07-25 14:43:04,807 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects104
2019-07-25 14:43:04,843 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects105
2019-07-25 14:43:04,873 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects106
2019-07-25 14:43:04,913 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects107
2019-07-25 14:43:04,933 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects108
2019-07-25 14:43:04,954 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects109
2019-07-25 14:43:04,977 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects110
2019-07-25 14:43:04,999 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects111
2019-07-25 14:43:05,020 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects112
2019-07-25 14:43:05,041 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects113
2019-07-25 14:43:05,062 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects114
2019-07-25 14:43:05,082 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects115
2019-07-25 14:43:05,105 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects116
2019-07-25 14:43:05,124 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects117
2019-07-25 14:43:05,145 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects118
2019-07-25 14:43:05,163 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects119
2019-07-25 14:43:05,184 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects120
2019-07-25 14:43:05,204 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects121
2019-07-25 14:43:05,224 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects122
2019-07-25 14:43:05,248 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects123
2019-07-25 14:43:05,269 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects124
2019-07-25 14:43:05,290 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects125
2019-07-25 14:43:05,314 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects126
2019-07-25 14:43:05,336 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects127
2019-07-25 14:43:05,357 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects128
2019-07-25 14:43:05,378 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects129
2019-07-25 14:43:05,402 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects130
2019-07-25 14:43:05,422 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects131
2019-07-25 14:43:05,441 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects132
2019-07-25 14:43:05,462 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects133
2019-07-25 14:43:05,484 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects134
2019-07-25 14:43:05,505 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects135
2019-07-25 14:43:05,526 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects136
2019-07-25 14:43:05,546 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects137
2019-07-25 14:43:05,566 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects138
2019-07-25 14:43:05,585 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects139
2019-07-25 14:43:05,606 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects140
2019-07-25 14:43:05,626 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects141
2019-07-25 14:43:05,645 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects142
2019-07-25 14:43:05,664 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects143
2019-07-25 14:43:05,683 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects144
2019-07-25 14:43:05,703 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects145
2019-07-25 14:43:05,723 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects146
2019-07-25 14:43:05,742 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects147
2019-07-25 14:43:05,764 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects148
2019-07-25 14:43:05,782 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects149
2019-07-25 14:43:05,801 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects150
2019-07-25 14:43:05,820 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects151
2019-07-25 14:43:05,840 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects152
2019-07-25 14:43:05,859 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects153
2019-07-25 14:43:05,879 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects154
2019-07-25 14:43:05,899 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects155
2019-07-25 14:43:05,918 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects156
2019-07-25 14:43:05,936 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects157
2019-07-25 14:43:05,957 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects158
2019-07-25 14:43:05,982 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects159
2019-07-25 14:43:06,001 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects160
2019-07-25 14:43:06,020 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects161
2019-07-25 14:43:06,041 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects162
2019-07-25 14:43:06,060 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects163
2019-07-25 14:43:06,078 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects164
2019-07-25 14:43:06,098 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects165
2019-07-25 14:43:06,119 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects166
2019-07-25 14:43:06,139 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects167
2019-07-25 14:43:06,158 [INFO] [NoneStorage] - performing PUT at /cf3/myobjects168
2019-07-25 14:43:06,178 [INFO] [NoneStorage] - performing PUT at /cf4/myobjects169
2019-07-25 14:43:06,197 [INFO] [NoneStorage] - performing PUT at /cf5/myobjects170
