================================================== stage: s1-init ==================================================
---------------------------------- mission: MF17CA8A633, driver: driver1 ----------------------------------
2020-03-26 13:01:32,342 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects106
2020-03-26 13:01:32,357 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects107
2020-03-26 13:01:32,374 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects108
2020-03-26 13:01:32,390 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects109
2020-03-26 13:01:32,406 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects110
2020-03-26 13:01:32,421 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects111
2020-03-26 13:01:32,441 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects112
2020-03-26 13:01:32,456 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects113
2020-03-26 13:01:32,471 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects114
2020-03-26 13:01:32,486 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects115
2020-03-26 13:01:32,501 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects116
2020-03-26 13:01:32,516 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects117
2020-03-26 13:01:32,533 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects118
2020-03-26 13:01:32,560 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects119
2020-03-26 13:01:32,575 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects120
2020-03-26 13:01:32,590 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects121
2020-03-26 13:01:32,606 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects122
2020-03-26 13:01:32,621 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects123
2020-03-26 13:01:32,636 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects124
2020-03-26 13:01:32,651 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects125
2020-03-26 13:01:32,672 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects126
2020-03-26 13:01:32,694 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects127
2020-03-26 13:01:32,709 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects128
