Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w72-s2-preparing_cluster-1,prepare-write,975000,51524011937000,20,517.18,57.9,30,220,740,850,10890,15950,38.67,2043324654.33,100%,100% containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB createContainer=false containers=r(1-5) objects=r(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w74-s1-MAIN-1,read,94496,5086953164000,20,596.79,42.72,70,230,780,920,11060,14930,26.28,1414557716.53,100%,60% containers=u(3-5) objects=u(1-195000)
w74-s1-MAIN-2,list,15712,0,20,5.75,5.74,10,10,10,20,50,1010,4.37,0,100%,10% containers=u(3-5) objects=u(1-195000)
w74-s1-MAIN-3,write,24981,1298556188000,20,590.67,90.87,90,290,840,980,10920,14370,6.95,361089061.52,99.99%,16% containers=u(1-2) objects=u(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w74-s1-MAIN-4,delete,21780,0,20,30.26,30.26,30,50,70,100,210,1050,6.06,0,100%,14% containers=u(1-2) objects=u(1-195000)
w77-s1-MAIN-1,read,7434,392671449000,20,633.59,48.63,70,310,840,1050,12110,15910,25.14,1327449021.53,100%,60% containers=u(3-5) objects=u(1-195000)
w77-s1-MAIN-2,list,1172,0,20,8.39,8.39,10,10,20,30,80,570,3.97,0,100%,10% containers=u(3-5) objects=u(1-195000)
w77-s1-MAIN-3,write,1905,95718792000,20,610.22,85.59,70,270,910,1090,11890,14760,6.45,323676741.23,100%,16% containers=u(1-2) objects=u(1-195000) sizes=h(1|1|50-64|64|15-8192|8192|15-65536|65536|15-1048576|1048576|5)KB
w77-s1-MAIN-4,delete,1710,0,20,19.64,19.64,20,30,50,70,130,1620,5.78,0,100%,14% containers=u(1-2) objects=u(1-195000)
w78-s1-MAIN-1,read,86332,4595050308000,20,658.12,52.76,80,310,880,1100,12640,18480,24,1277535301.2,100%,60% containers=u(3-5) objects=u(1-195000)
w78-s1-MAIN-2,list,14394,0,20,7.24,7.24,10,10,20,30,60,1150,4,0,100%,10% containers=u(3-5) objects=u(1-195000)
