================================================== stage: s1-MAIN ==================================================
---------------------------------- mission: MD17F4F33BF, driver: driver1 ----------------------------------
2020-03-26 13:47:42,854 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects1730
2020-03-26 13:47:42,877 [INFO] [NoneStorage] - performing GET at /cf4/myobjects1437
2020-03-26 13:47:42,880 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects838
2020-03-26 13:47:42,900 [INFO] [NoneStorage] - performing GET at /cf4/myobjects3839
2020-03-26 13:47:42,903 [INFO] [NoneStorage] - performing PUT at /cf2/myobjects131
2020-03-26 13:47:42,923 [INFO] [NoneStorage] - performing GET at /cf5/myobjects583
2020-03-26 13:47:42,926 [INFO] [NoneStorage] - performing GET at /cf4/myobjects2976
2020-03-26 13:47:42,932 [INFO] [NoneStorage] - performing GET at /cf4/myobjects5249
2020-03-26 13:47:42,935 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects5237
2020-03-26 13:47:42,946 [INFO] [NoneStorage] - performing GET at /cf5/myobjects3717
2020-03-26 13:47:42,953 [INFO] [NoneStorage] - performing GET at /cf3/myobjects1046
2020-03-26 13:47:42,956 [INFO] [NoneStorage] - performing GET at /cf4/myobjects1593
2020-03-26 13:47:42,963 [INFO] [NoneStorage] - performing GET at /cf3/myobjects704
2020-03-26 13:47:42,966 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects3469
2020-03-26 13:47:42,985 [WARN] [AbstractOperator] - listerrr: cf5/myobjects3358
2020-03-26 13:47:42,986 [INFO] [NoneStorage] - performing LIST at /cf5/myobjects3358
2020-03-26 13:47:42,986 [INFO] [NoneStorage] - performing GET at /cf3/myobjects1968
2020-03-26 13:47:42,988 [INFO] [NoneStorage] - performing GET at /cf3/myobjects5432
2020-03-26 13:47:42,996 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects5569
2020-03-26 13:47:43,011 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects3293
2020-03-26 13:47:43,027 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects4167
2020-03-26 13:47:43,042 [INFO] [NoneStorage] - performing GET at /cf5/myobjects3014
2020-03-26 13:47:43,045 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects801
2020-03-26 13:47:43,059 [INFO] [NoneStorage] - performing GET at /cf4/myobjects1230
2020-03-26 13:47:43,062 [INFO] [NoneStorage] - performing GET at /cf4/myobjects3086
2020-03-26 13:47:43,069 [INFO] [NoneStorage] - performing GET at /cf3/myobjects3229
2020-03-26 13:47:43,073 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects2425
2020-03-26 13:47:43,098 [INFO] [NoneStorage] - performing GET at /cf4/myobjects3169
2020-03-26 13:47:43,101 [INFO] [NoneStorage] - performing GET at /cf4/myobjects5410
2020-03-26 13:47:43,116 [INFO] [NoneStorage] - performing GET at /cf5/myobjects3946
2020-03-26 13:47:43,119 [INFO] [NoneStorage] - performing GET at /cf5/myobjects4215
2020-03-26 13:47:43,122 [INFO] [NoneStorage] - performing DELETE at /cf1/myobjects1200
2020-03-26 13:47:43,136 [WARN] [AbstractOperator] - listerrr: cf4/myobjects2191
2020-03-26 13:47:43,136 [INFO] [NoneStorage] - performing LIST at /cf4/myobjects2191
2020-03-26 13:47:43,137 [INFO] [NoneStorage] - performing GET at /cf5/myobjects2326
2020-03-26 13:47:43,141 [INFO] [NoneStorage] - performing GET at /cf3/myobjects835
2020-03-26 13:47:43,145 [INFO] [NoneStorage] - performing GET at /cf4/myobjects4453
2020-03-26 13:47:43,152 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects3944
2020-03-26 13:47:43,162 [INFO] [NoneStorage] - performing GET at /cf5/myobjects5419
2020-03-26 13:47:43,172 [WARN] [AbstractOperator] - listerrr: cf4/myobjects5286
2020-03-26 13:47:43,172 [INFO] [NoneStorage] - performing LIST at /cf4/myobjects5286
2020-03-26 13:47:43,172 [INFO] [NoneStorage] - performing GET at /cf3/myobjects4060
2020-03-26 13:47:43,175 [INFO] [NoneStorage] - performing GET at /cf3/myobjects2462
2020-03-26 13:47:43,181 [INFO] [NoneStorage] - performing GET at /cf5/myobjects5469
2020-03-26 13:47:43,184 [INFO] [NoneStorage] - performing PUT at /cf1/myobjects785
2020-03-26 13:47:43,205 [INFO] [NoneStorage] - performing DELETE at /cf2/myobjects860
2020-03-26 13:47:43,220 [INFO] [NoneStorage] - performing GET at /cf3/myobjects2393
