Timestamp,Op-Count,,,,Byte-Count,,,,Avg-ResTime,,,,Avg-ProcTime,,,,Throughput,,,,Bandwidth,,,,Succ-Ratio,,,,Version-Info,,
,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,read,list,write,delete,Min-Version,Version,Max-Version
13:51:28,322,55,81,70,20608000,0,5184000,0,6.06,N/A,24.73,14.94,5.82,N/A,24.25,14.94,64.32,10.99,16.18,13.98,4116660.01,0,1035557.33,0,100%,100%,100%,100%,44,44,44
13:51:33,204,43,50,44,13056000,0,3200000,0,8.75,0.14,42.22,25.25,8.34,0.14,41.64,25.25,40.59,8.56,9.95,8.75,2597692,0,636689.22,0,100%,100%,100%,100%,45,45,45
13:51:38,199,22,51,37,12736000,0,3264000,0,9.91,0.05,41.65,24.95,9.34,0.05,40.76,24.95,39.54,4.37,10.13,7.35,2530498.71,0,648519.77,0,100%,100%,100%,100%,46,46,46
13:51:43,172,26,42,36,11008000,0,2688000,0,11.27,0.23,46.88,29.75,10.56,0.23,45.81,29.75,34.38,5.2,8.39,7.2,2200279.83,0,537277.63,0,100%,100%,100%,100%,47,47,47
13:51:48,229,41,58,46,14656000,0,3712000,0,8.09,0.12,36.57,22.02,7.76,0.12,36.16,22.02,45.78,8.2,11.6,9.2,2930027.99,0,742103.16,0,100%,100%,100%,100%,48,48,48
13:51:53,185,42,51,42,11840000,0,3264000,0,9.49,0.19,44.78,22.4,8.89,0.19,43.78,22.4,36.91,8.38,10.18,8.38,2362330.41,0,651237.03,0,100%,100%,100%,100%,49,49,49
13:51:58,177,21,53,39,11328000,0,3392000,0,10.39,0.14,41.85,23.87,9.92,0.14,41.11,23.87,35.34,4.19,10.58,7.79,2261980.83,0,677316.29,0,100%,100%,100%,100%,50,50,50
13:52:03,147,31,55,36,9408000,0,3520000,0,11.14,0.1,43.85,25.75,10.51,0.1,42.98,25.75,29.38,6.2,10.99,7.2,1880471.72,0,703577.85,0,100%,100%,100%,100%,51,51,51
13:52:08,205,34,63,36,13120000,0,4032000,0,8.08,0.12,38.57,24.89,7.79,0.12,38.25,24.89,41,6.8,12.6,7.2,2624000,0,806400,0,100%,100%,100%,100%,52,52,52
13:52:13,153,24,41,41,9792000,0,2624000,0,11.05,0.29,48.71,31.66,10.48,0.29,47.83,31.66,30.59,4.8,8.2,8.2,1957616.95,0,524590.16,0,100%,100%,100%,100%,53,53,53
13:52:18,160,35,43,48,10240000,0,2752000,0,11.04,0.17,45.47,26.12,10.5,0.17,44.79,26.12,31.99,7,8.6,9.6,2047590.48,0,550289.94,0,100%,100%,100%,100%,54,54,54
13:52:23,172,32,35,28,11008000,0,2240000,0,12.59,0.19,57.34,28.71,11.79,0.19,56.11,28.71,34.39,6.4,7,5.6,2200719.71,0,447820.87,0,100%,100%,100%,100%,55,55,55
13:52:28,152,22,48,35,9728000,0,3072000,0,10.3,0.18,48.04,32.34,9.89,0.18,47.6,32.34,30.29,4.38,9.57,6.97,1938620.96,0,612196.09,0,100%,100%,100%,100%,56,56,56
13:52:33,152,21,46,36,9728000,0,2944000,0,10.55,0.19,48.24,32.44,10.12,0.19,47.52,32.44,30.4,4.2,9.2,7.2,1945600,0,588800,0,100%,100%,100%,100%,57,57,57
13:52:38,142,25,43,24,9088000,0,2752000,0,11.85,0.16,58.72,34.25,11.24,0.16,57.58,34.25,28.13,4.95,8.52,4.75,1800316.96,0,545166.4,0,100%,100%,100%,100%,58,58,58
13:52:43,140,19,45,30,8960000,0,2880000,0,9.91,0.11,48.78,27.07,9.58,0.11,48.22,27.07,31.78,4.31,10.22,6.81,2034052.21,0,653802.5,0,100%,100%,100%,100%,59,59,59
