Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,8828,183835556000,500.04,407.96,1.84,38284573.88,100%
delete,delete,5941,0,65.07,65.07,1.24,0,100%
write,write,8842,181473940000,498.78,406.96,1.84,37792528.58,100%
delete,delete,5797,0,67.4,67.4,1.21,0,100%
write,write,8777,183696668000,501.66,408.52,1.83,38254908.93,100%
delete,delete,5868,0,67.81,67.81,1.22,0,100%
write,write,8742,185926716000,503.79,409.89,1.82,38718761.01,100%
delete,delete,5908,0,67.18,67.18,1.23,0,100%
write,write,8936,185798768000,499.37,406.75,1.86,38694968.75,100%
delete,delete,5995,0,56.44,56.44,1.25,0,100%
write,write,8941,188944564000,500.87,406.81,1.86,39348744.24,100%
delete,delete,5979,0,53.95,53.95,1.25,0,100%
write,write,8997,188096352000,498.61,406.2,1.87,39170622.92,100%
delete,delete,5789,0,54.43,54.43,1.21,0,100%
write,write,8955,186914868000,499.94,407.31,1.87,38928189.14,100%
delete,delete,5807,0,55.73,55.73,1.21,0,100%
write,write,8939,187437020000,499.93,407.12,1.86,39034326.55,100%
delete,delete,5905,0,56.24,56.24,1.23,0,100%
write,write,8987,189663080000,499.78,405.59,1.87,39497054.85,100%
delete,delete,5805,0,53.32,53.32,1.21,0,100%
write,write,8983,186654532000,497.67,406.29,1.87,38870812.51,100%
delete,delete,6067,0,54.46,54.46,1.26,0,100%
write,write,9041,186263792000,493.41,401.8,1.88,38795516.42,100%
delete,delete,6027,0,56.31,56.31,1.26,0,100%
write,write,8946,185080176000,499.76,407.18,1.86,38543000.98,100%
delete,delete,5829,0,56.61,56.61,1.21,0,100%
write,write,8870,188091404000,503.1,408.87,1.85,39169494.63,100%
delete,delete,5986,0,56.55,56.55,1.25,0,100%
write,write,8971,188358436000,499.85,406.98,1.87,39227807.24,100%
delete,delete,5863,0,53.97,53.97,1.22,0,100%
write,write,8822,188219756000,506.3,411.57,1.84,39199864.38,100%
delete,delete,6066,0,55.05,55.05,1.26,0,100%
write,write,8915,186389912000,501.3,407.78,1.86,38822545.12,100%
delete,delete,5878,0,56.32,56.32,1.22,0,100%
write,write,8922,186523404000,502.28,410.37,1.86,38845495.13,100%
delete,delete,5810,0,54.95,54.95,1.21,0,100%
write,write,8917,188353720000,501.85,407.75,1.86,39224194.7,100%
delete,delete,5975,0,54.55,54.55,1.24,0,100%
write,write,8959,187435240000,499.43,407.82,1.87,39033476.26,100%
delete,delete,5979,0,54.61,54.61,1.25,0,100%
write,write,8849,186057608000,502.08,409.53,1.84,38747955.53,100%
delete,delete,5864,0,61.05,61.05,1.22,0,100%
write,write,8904,186189792000,500.92,408.62,1.85,38778318.52,100%
delete,delete,5867,0,58,58,1.22,0,100%
write,write,8954,184359056000,496.41,405.83,1.86,38395194.29,100%
delete,delete,5956,0,59.75,59.75,1.24,0,100%
write,write,8814,188806752000,504.75,410.2,1.84,39319454.56,100%
delete,delete,5988,0,58.8,58.8,1.25,0,100%
write,write,8890,188873548000,503.7,409.86,1.85,39333504.24,100%
delete,delete,5763,0,56.06,56.06,1.2,0,100%
write,write,8847,191166756000,504.83,410.02,1.84,39810881.26,100%
delete,delete,5996,0,55.82,55.82,1.25,0,100%
write,write,8834,186778640000,502.47,408.36,1.84,38898982.91,100%
delete,delete,6065,0,59.67,59.67,1.26,0,100%
write,write,8784,187173612000,506.25,411.66,1.83,38982182.51,100%
delete,delete,5871,0,60.26,60.26,1.22,0,100%
write,write,8910,186979860000,499.6,407.72,1.86,38944450.07,100%
delete,delete,6050,0,57.66,57.66,1.26,0,100%
write,write,8928,185277000000,498.38,407.09,1.86,38584656.56,100%
delete,delete,5967,0,58.89,58.89,1.24,0,100%
write,write,8894,190186784000,502.64,407.35,1.85,39606107.18,100%
delete,delete,5952,0,55.53,55.53,1.24,0,100%
write,write,8989,190653988000,500.07,406.72,1.87,39704336.02,100%
delete,delete,5797,0,52.74,52.74,1.21,0,100%
write,write,8871,188745468000,503.64,409.2,1.85,39307158.61,100%
delete,delete,5983,0,55.67,55.67,1.25,0,100%
write,write,8854,188613076000,505.37,411.6,1.84,39278663,100%
delete,delete,5834,0,55.95,55.95,1.21,0,100%
write,write,8909,187829192000,502.4,409.65,1.86,39115907.95,100%
delete,delete,5964,0,54.49,54.49,1.24,0,100%
write,write,8895,185540256000,501.66,409.17,1.85,38638120.78,100%
delete,delete,5837,0,58.04,58.04,1.22,0,100%
write,write,8989,184554112000,494.95,403.17,1.87,38433632.08,100%
delete,delete,6017,0,58.47,58.47,1.25,0,100%
write,write,8813,189793208000,505.64,410.76,1.84,39523931.58,100%
delete,delete,5875,0,58.7,58.7,1.22,0,100%
write,write,8845,187630780000,503.58,410.33,1.84,39073619.82,100%
delete,delete,5847,0,59.33,59.33,1.22,0,100%
write,write,8802,184550964000,504.38,410.88,1.83,38434945.52,100%
delete,delete,5956,0,60.63,60.63,1.24,0,100%
write,write,8902,180170620000,498.11,407.59,1.85,37522405.17,100%
delete,delete,5993,0,61.18,61.18,1.25,0,100%
write,write,8725,185465164000,507.52,412.65,1.82,38624107.89,100%
delete,delete,5891,0,63.28,63.28,1.23,0,100%
write,write,8988,185020512000,491.98,401.81,1.87,38532333.27,100%
delete,delete,5974,0,63.42,63.42,1.24,0,100%
write,write,8747,189985880000,507.38,411.75,1.82,39565332.11,100%
delete,delete,5831,0,62.22,62.22,1.21,0,100%
write,write,8785,185073892000,503.59,410.63,1.83,38544333.17,100%
delete,delete,5947,0,63.31,63.31,1.24,0,100%
write,write,8916,182589720000,497.12,405.95,1.86,38025178.42,100%
delete,delete,6010,0,61.3,61.3,1.25,0,100%
write,write,8790,185994540000,503.59,410.93,1.83,38733038.44,100%
delete,delete,5984,0,62.57,62.57,1.25,0,100%
write,write,8871,185011224000,499.31,406.98,1.85,38529251.51,100%
delete,delete,5815,0,63.9,63.9,1.21,0,100%
write,write,8774,186912644000,505.94,410.1,1.83,38924588.66,100%
delete,delete,5854,0,61.81,61.81,1.22,0,100%
