Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
delete,delete,6225,0,38.64,38.64,1.3,0,100%
write,write,9396,195572316000,485.85,369.67,1.96,40727924.36,100%
delete,delete,6306,0,37.4,37.4,1.31,0,100%
write,write,9316,197013760000,487.65,369.8,1.94,41027729.06,100%
delete,delete,6289,0,41.04,41.04,1.31,0,100%
write,write,9354,200225940000,488.97,371.75,1.95,41696945.79,100%
delete,delete,5976,0,38.01,38.01,1.24,0,100%
write,write,9302,197668664000,488.7,371.23,1.94,41168492.47,100%
delete,delete,6448,0,39.48,39.48,1.34,0,100%
write,write,9399,196557588000,484.72,368.32,1.96,40941275.13,100%
delete,delete,6242,0,39.1,39.1,1.3,0,100%
write,write,9406,196168264000,483.64,368.53,1.96,40852277.22,100%
delete,delete,6262,0,40.2,40.2,1.3,0,100%
write,write,8964,192417912000,506.85,370.29,1.87,40070494.18,100%
delete,delete,5994,0,42.87,42.87,1.25,0,100%
write,write,9020,189277100000,503.4,370.92,1.88,39416855.67,100%
delete,delete,5940,0,43.71,43.71,1.24,0,100%
write,write,9069,189084540000,500.43,367.86,1.89,39383053.9,100%
delete,delete,6027,0,43.31,43.31,1.26,0,100%
write,write,9125,191505008000,497.65,367.47,1.9,39881871.11,100%
delete,delete,6130,0,42.27,42.27,1.28,0,100%
write,write,8916,191036388000,507.53,372.79,1.86,39789880.3,100%
delete,delete,5885,0,46.63,46.63,1.23,0,100%
write,write,9233,186528188000,491.16,363.63,1.92,38845221.33,100%
delete,delete,6330,0,41.9,41.9,1.32,0,100%
write,write,9090,187114284000,500.94,369.84,1.89,38966077.11,100%
delete,delete,6085,0,40.06,40.06,1.27,0,100%
write,write,9226,188236132000,493.34,366.36,1.92,39199993,100%
delete,delete,6146,0,40.47,40.47,1.28,0,100%
write,write,9377,194587760000,488.15,372.35,1.95,40523346.33,100%
delete,delete,6237,0,35.84,35.84,1.3,0,100%
write,write,9377,196363904000,487.32,371.77,1.95,40898828.23,100%
delete,delete,6242,0,36.95,36.95,1.3,0,100%
write,write,9272,195570980000,491.4,374.77,1.93,40729613.95,100%
delete,delete,6319,0,38.69,38.69,1.32,0,100%
write,write,9361,198458764000,488.91,373.01,1.95,41334467.2,100%
delete,delete,6199,0,36.07,36.07,1.29,0,100%
write,write,9297,196293552000,489.07,372.83,1.94,40880394.78,100%
delete,delete,6320,0,40.14,40.14,1.32,0,100%
write,write,9477,192495816000,480.53,370.83,1.97,40090532.85,100%
delete,delete,6502,0,37.93,37.93,1.35,0,100%
write,write,9265,197993836000,492.39,375.41,1.93,41232411.85,100%
delete,delete,6187,0,38.62,38.62,1.29,0,100%
write,write,9263,199631288000,494.27,376.49,1.93,41572798.16,100%
delete,delete,6004,0,37.08,37.08,1.25,0,100%
write,write,9175,201465832000,500.44,376.99,1.91,41959574.1,100%
delete,delete,6135,0,34.06,34.06,1.28,0,100%
write,write,9452,193876628000,484.41,370.03,1.97,40375528.94,100%
delete,delete,6244,0,35.59,35.59,1.3,0,100%
write,write,9471,194989488000,484.91,371.48,1.97,40615439.99,100%
delete,delete,6091,0,34.05,34.05,1.27,0,100%
write,write,9444,194985180000,484.85,370.27,1.97,40607074,100%
delete,delete,6390,0,34.72,34.72,1.33,0,100%
write,write,9446,197149124000,485.54,369.72,1.97,41058218.38,100%
delete,delete,6279,0,34.13,34.13,1.31,0,100%
