Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,8368,175037608000,536.89,401.32,1.74,36451815.43,100%
delete,delete,5597,0,55.08,55.08,1.17,0,100%
write,write,8523,173733048000,536.49,400.58,1.78,36189499.42,100%
delete,delete,5588,0,40.69,40.69,1.16,0,100%
write,write,8454,173469204000,531.19,396.9,1.76,36125448.99,99.99%
delete,delete,5637,0,44.41,44.41,1.17,0,100%
write,write,8298,175752960000,543.79,407.4,1.73,36605652.03,100%
delete,delete,5658,0,50.9,50.9,1.18,0,100%
write,write,8322,174579000000,541,403.2,1.73,36360868.17,100%
delete,delete,5633,0,52.94,52.94,1.17,0,100%
write,write,8450,172617452000,539.42,405.11,1.76,35974957.63,100%
delete,delete,5525,0,43.31,43.31,1.15,0,100%
write,write,8164,173130664000,559.55,413.6,1.7,36056050.88,100%
delete,delete,5358,0,43.43,43.43,1.12,0,100%
write,write,8324,173334800000,544.51,407.08,1.73,36097278.57,100%
delete,delete,5497,0,48.85,48.85,1.14,0,100%
write,write,8458,177140272000,532.29,396.97,1.76,36896559.61,100%
delete,delete,5648,0,52.77,52.77,1.18,0,100%
write,write,8552,177271412000,533.72,396.51,1.78,36919983.6,100%
delete,delete,5791,0,40.81,40.81,1.21,0,100%
write,write,8419,172288528000,533.8,403.28,1.75,35894146.26,99.99%
delete,delete,5497,0,44.56,44.56,1.15,0,100%
write,write,8386,174912436000,544.63,408.47,1.75,36429761.48,99.99%
delete,delete,5557,0,31.1,31.1,1.16,0,100%
write,write,8463,174979536000,537.92,402.28,1.76,36446203.69,99.99%
delete,delete,5511,0,34,34,1.15,0,100%
write,write,8414,178051424000,541.58,407.21,1.75,37086088.61,99.99%
delete,delete,5561,0,32.95,32.95,1.16,0,100%
write,write,8243,176735000000,551.22,409.37,1.72,36806870.92,100%
delete,delete,5524,0,46.54,46.54,1.15,0,100%
write,write,8436,174383340000,542.72,404.62,1.76,36327947.71,100%
delete,delete,5749,0,38.43,38.43,1.2,0,100%
write,write,8457,173795916000,541.82,405.88,1.76,36211209.24,100%
delete,delete,5695,0,38,38,1.19,0,100%
write,write,8329,172742992000,539.51,404.36,1.73,35981324.36,99.98%
delete,delete,5513,0,33.76,33.76,1.15,0,100%
write,write,8292,174904260000,545.28,405.99,1.73,36428726.3,99.99%
delete,delete,5614,0,38.93,38.93,1.17,0,100%
write,write,8584,177011872000,532.65,399.52,1.79,36867649.64,100%
delete,delete,5655,0,40.32,40.32,1.18,0,100%
write,write,8592,176293692000,530.3,397.19,1.79,36714658.17,100%
delete,delete,5540,0,44.12,44.12,1.15,0,100%
write,write,8385,177531972000,540.41,404.84,1.75,36974196.03,100%
delete,delete,5560,0,48.42,48.42,1.16,0,100%
write,write,8479,176615440000,535.7,401.94,1.77,36780347.43,99.99%
delete,delete,5583,0,35.61,35.61,1.16,0,100%
write,write,8400,179230764000,544.83,409.09,1.75,37330526.53,100%
delete,delete,5756,0,38.87,38.87,1.2,0,100%
write,write,8500,177461560000,533.09,398.23,1.77,36972552.51,99.99%
delete,delete,5628,0,36.88,36.88,1.17,0,100%
write,write,8239,180271912000,552.41,409.69,1.72,37547066.01,99.99%
delete,delete,5468,0,34.56,34.56,1.14,0,100%
write,write,8337,178570992000,546.16,410.03,1.74,37188902,99.99%
delete,delete,5572,0,33.65,33.65,1.16,0,100%
write,write,8550,178713348000,532.21,396.54,1.78,37216611.15,99.99%
delete,delete,5686,0,33.55,33.55,1.18,0,100%
write,write,8393,177463772000,543.8,405.35,1.75,36964465,99.99%
delete,delete,5537,0,31.79,31.79,1.15,0,100%
write,write,8495,182314268000,538.75,399.82,1.77,37968676.11,100%
delete,delete,5495,0,40.8,40.8,1.14,0,100%
write,write,8275,175300564000,549.91,414.71,1.72,36505793.32,99.99%
delete,delete,5644,0,33.78,33.78,1.18,0,100%
write,write,8568,181863696000,539.02,394.57,1.79,37889264.59,100%
delete,delete,5547,0,32.59,32.59,1.16,0,100%
write,write,8486,177599708000,540.5,405.42,1.77,36999476.67,100%
delete,delete,5567,0,38.19,38.19,1.16,0,100%
write,write,8282,179423768000,548.86,408.91,1.73,37375209.69,99.99%
delete,delete,5313,0,36.54,36.54,1.11,0,100%
write,write,8403,179821464000,548.12,401.97,1.75,37463476.22,100%
delete,delete,5729,0,33.72,33.72,1.19,0,100%
write,write,8191,172410640000,543.18,403.72,1.71,35909105.58,99.99%
delete,delete,5551,0,52.34,52.34,1.16,0,100%
write,write,8378,171438428000,534.59,402.09,1.74,35703649.49,99.99%
delete,delete,5572,0,46.96,46.96,1.16,0,100%
write,write,8318,173594864000,548.04,404.28,1.73,36150910.36,100%
delete,delete,5559,0,43.62,43.62,1.16,0,100%
write,write,8452,175176208000,534.97,400.47,1.76,36481522.37,100%
delete,delete,5596,0,49.91,49.91,1.17,0,100%
write,write,8277,171890748000,543.64,405.69,1.72,35800988.28,99.99%
delete,delete,5595,0,43.02,43.02,1.17,0,100%
write,write,8383,172356676000,542.82,402.97,1.75,35900931.85,100%
delete,delete,5803,0,43,43,1.21,0,100%
write,write,8429,177139196000,544.4,407.77,1.76,36888767.18,100%
delete,delete,5406,0,39.28,39.28,1.13,0,100%
write,write,8361,173795832000,536.59,401.74,1.74,36192904.9,99.99%
delete,delete,5563,0,45.77,45.77,1.16,0,100%
